master_source_venue_id,field,old_value,new_value,source
way/357440703,postal_code,,01014,spiagge:10326
way/357440703,booking_provider,,spiagge.it,spiagge:10326
way/96933629,address,,"Strada delle Murelle, SNC",spiagge:10325
way/96933629,city,,Montalto di Castro,spiagge:10325
way/96933629,region,,Lazio,spiagge:10325
way/96933629,postal_code,,01014,spiagge:10325
way/96933629,booking_provider,,spiagge.it,spiagge:10325
way/363957652,address,,"Lungomare dei Giardini, SNC",spiagge:10328
way/363957652,city,,Lido di Tarquinia,spiagge:10328
way/363957652,region,,Lazio,spiagge:10328
way/363957652,postal_code,,01016,spiagge:10328
way/363957652,booking_provider,,spiagge.it,spiagge:10328
way/406351113,address,,"Località Lama Le Canne, SNC",spiagge:10338
way/406351113,city,,Vieste,spiagge:10338
way/406351113,region,,Puglia,spiagge:10338
way/406351113,postal_code,,71019,spiagge:10338
way/406351113,booking_provider,,spiagge.it,spiagge:10338
way/583538908,region,,Puglia,spiagge:10348
way/583538908,booking_provider,,spiagge.it,spiagge:10348
way/720011532,address,,"Via Pasubio, 62",spiagge:10359
way/720011532,city,,Cesenatico,spiagge:10359
way/720011532,region,,Emilia-Romagna,spiagge:10359
way/720011532,postal_code,,47042,spiagge:10359
way/720011532,booking_provider,,spiagge.it,spiagge:10359
way/601586169,address,,SP91 snc,spiagge:10341
way/601586169,city,,Pescoluse,spiagge:10341
way/601586169,region,,Puglia,spiagge:10341
way/601586169,postal_code,,73050,spiagge:10341
way/601586169,booking_provider,,spiagge.it,spiagge:10341
way/553722133,region,,Emilia-Romagna,spiagge:10361
way/553722133,booking_provider,,spiagge.it,spiagge:10361
node/11090990338,address,,"Viale G. Carducci, 4A",spiagge:10360
node/11090990338,city,,Cesenatico,spiagge:10360
node/11090990338,region,,Emilia-Romagna,spiagge:10360
node/11090990338,postal_code,,47042,spiagge:10360
node/11090990338,booking_provider,,spiagge.it,spiagge:10360
node/11090990338,address,," Viale G. Carducci, 3",spiagge:10362
node/11090990338,city,,Cesenatico,spiagge:10362
node/11090990338,region,,Emilia-Romagna,spiagge:10362
node/11090990338,postal_code,,47042,spiagge:10362
node/11090990338,booking_provider,,spiagge.it,spiagge:10362
way/184892587,address,,Via Arenile Demaniale 102,spiagge:10366
way/184892587,city,,Cesenatico,spiagge:10366
way/184892587,region,,Emilia-Romagna,spiagge:10366
way/184892587,postal_code,,47042,spiagge:10366
way/184892587,booking_provider,,spiagge.it,spiagge:10366
node/11090990338,address,,"Viale Carducci, 306",spiagge:10363
node/11090990338,city,,Cesenatico,spiagge:10363
node/11090990338,region,,Emilia-Romagna,spiagge:10363
node/11090990338,postal_code,,47042,spiagge:10363
node/11090990338,booking_provider,,spiagge.it,spiagge:10363
way/1382566025,address,,Piazza Andrea Costa snc,spiagge:10367
way/1382566025,city,,Cesenatico,spiagge:10367
way/1382566025,region,,Emilia-Romagna,spiagge:10367
way/1382566025,postal_code,,47042,spiagge:10367
way/1382566025,booking_provider,,spiagge.it,spiagge:10367
way/184892587,address,,Viale dei Pini snc,spiagge:10365
way/184892587,city,,Cesenatico,spiagge:10365
way/184892587,region,,Emilia-Romagna,spiagge:10365
way/184892587,postal_code,,47042,spiagge:10365
way/184892587,booking_provider,,spiagge.it,spiagge:10365
node/5279553574,address,,Località Arenile Demaniale,spiagge:10372
node/5279553574,city,,Cesenatico,spiagge:10372
node/5279553574,region,,Emilia-Romagna,spiagge:10372
node/5279553574,postal_code,,47042,spiagge:10372
node/5279553574,booking_provider,,spiagge.it,spiagge:10372
node/11090990338,address,,Viale Giosuè Carducci 279,spiagge:10368
node/11090990338,city,,Cesenatico,spiagge:10368
node/11090990338,region,,Emilia-Romagna,spiagge:10368
node/11090990338,postal_code,,47042,spiagge:10368
node/11090990338,booking_provider,,spiagge.it,spiagge:10368
way/703504236,address,,"Viale Isonzo, 48",spiagge:10369
way/703504236,city,,Cesenatico,spiagge:10369
way/703504236,region,,Emilia-Romagna,spiagge:10369
way/703504236,postal_code,,47042,spiagge:10369
way/703504236,booking_provider,,spiagge.it,spiagge:10369
way/553722133,region,,Emilia-Romagna,spiagge:10370
way/553722133,booking_provider,,spiagge.it,spiagge:10370
way/703504023,address,,Viale Ferrara snc,spiagge:10376
way/703504023,city,,Cesenatico,spiagge:10376
way/703504023,region,,Emilia-Romagna,spiagge:10376
way/703504023,postal_code,,47042,spiagge:10376
way/703504023,booking_provider,,spiagge.it,spiagge:10376
way/703504026,address,,"Via Montegrappa, 66",spiagge:10379
way/703504026,city,,Cesenatico,spiagge:10379
way/703504026,region,,Emilia-Romagna,spiagge:10379
way/703504026,postal_code,,47042,spiagge:10379
way/703504026,booking_provider,,spiagge.it,spiagge:10379
way/177758897,address,,"Localita' Arenile Demaniale, Pineta Zadina 95",spiagge:10380
way/177758897,city,,Cesenatico,spiagge:10380
way/177758897,region,,Emilia-Romagna,spiagge:10380
way/177758897,postal_code,,47042,spiagge:10380
way/177758897,booking_provider,,spiagge.it,spiagge:10380
node/5688428324,city,,Cesenatico,spiagge:10382
node/5688428324,region,,Emilia-Romagna,spiagge:10382
node/5688428324,booking_provider,,spiagge.it,spiagge:10382
way/553722133,region,,Emilia-Romagna,spiagge:10383
way/553722133,booking_provider,,spiagge.it,spiagge:10383
node/2377658347,city,,Cesenatico,spiagge:10385
node/2377658347,region,,Emilia-Romagna,spiagge:10385
node/2377658347,booking_provider,,spiagge.it,spiagge:10385
way/703500314,address,,"Viale Carso, 42",spiagge:10392
way/703500314,city,,Cesenatico,spiagge:10392
way/703500314,region,,Emilia-Romagna,spiagge:10392
way/703500314,postal_code,,47042,spiagge:10392
way/703500314,booking_provider,,spiagge.it,spiagge:10392
node/13114338195,region,,Emilia-Romagna,spiagge:10394
node/13114338195,booking_provider,,spiagge.it,spiagge:10394
