spiagge_venue_id,spiagge_url,slug,sitemap_source,discovered_at
10196,https://www.spiagge.it/stabilimenti-balneari/10196-bagni-18-giemme/,bagni-18-giemme,stabilimenti_01,2026-06-01T15:18:21Z
10197,https://www.spiagge.it/stabilimenti-balneari/10197-bagni-5/,bagni-5,stabilimenti_03,2026-06-01T15:18:21Z
10198,https://www.spiagge.it/stabilimenti-balneari/10198-lido-golden-beach/,lido-golden-beach,stabilimenti_01,2026-06-01T15:18:21Z
10199,https://www.spiagge.it/stabilimenti-balneari/10199-altamarea-poetto/,altamarea-poetto,stabilimenti_01,2026-06-01T15:18:21Z
10201,https://www.spiagge.it/stabilimenti-balneari/10201-lido-kiss-kiss/,lido-kiss-kiss,stabilimenti_01,2026-06-01T15:18:21Z
10203,https://www.spiagge.it/stabilimenti-balneari/10203-balneare-ristorante-l-approdo/,balneare-ristorante-l-approdo,stabilimenti_03,2026-06-01T15:18:21Z
10204,https://www.spiagge.it/stabilimenti-balneari/10204-lido-sabbia-d-oro/,lido-sabbia-d-oro,stabilimenti_03,2026-06-01T15:18:21Z
10207,https://www.spiagge.it/stabilimenti-balneari/10207-lido-azzurro/,lido-azzurro,stabilimenti_01,2026-06-01T15:18:21Z
10208,https://www.spiagge.it/stabilimenti-balneari/10208-piper-torre-di-mezzo/,piper-torre-di-mezzo,stabilimenti_01,2026-06-01T15:18:21Z
10209,https://www.spiagge.it/stabilimenti-balneari/10209-bagno-alhambra/,bagno-alhambra,stabilimenti_01,2026-06-01T15:18:21Z
10210,https://www.spiagge.it/stabilimenti-balneari/10210-mini-beach/,mini-beach,stabilimenti_01,2026-06-01T15:18:21Z
10211,https://www.spiagge.it/stabilimenti-balneari/10211-bagni-olimpia/,bagni-olimpia,stabilimenti_01,2026-06-01T15:18:21Z
10212,https://www.spiagge.it/stabilimenti-balneari/10212-lido-calypso/,lido-calypso,stabilimenti_01,2026-06-01T15:18:21Z
10213,https://www.spiagge.it/stabilimenti-balneari/10213-el-pareo/,el-pareo,stabilimenti_01,2026-06-01T15:18:21Z
10214,https://www.spiagge.it/stabilimenti-balneari/10214-stabilimento-bar-le-palme/,stabilimento-bar-le-palme,stabilimenti_03,2026-06-01T15:18:21Z
10215,https://www.spiagge.it/stabilimenti-balneari/10215-malibu/,malibu,stabilimenti_03,2026-06-01T15:18:21Z
10216,https://www.spiagge.it/stabilimenti-balneari/10216-le-tre-caravelle/,le-tre-caravelle,stabilimenti_01,2026-06-01T15:18:21Z
10217,https://www.spiagge.it/stabilimenti-balneari/10217-lido-pevero-beach/,lido-pevero-beach,stabilimenti_03,2026-06-01T15:18:21Z
10218,https://www.spiagge.it/stabilimenti-balneari/10218-lido-aurora/,lido-aurora,stabilimenti_01,2026-06-01T15:18:21Z
10219,https://www.spiagge.it/stabilimenti-balneari/10219-bagno-37/,bagno-37,stabilimenti_01,2026-06-01T15:18:21Z
10222,https://www.spiagge.it/stabilimenti-balneari/10222-lido-point-break/,lido-point-break,stabilimenti_01,2026-06-01T15:18:21Z
10223,https://www.spiagge.it/stabilimenti-balneari/10223-lido-le-cicale/,lido-le-cicale,stabilimenti_03,2026-06-01T15:18:21Z
10224,https://www.spiagge.it/stabilimenti-balneari/10224-lido-belvedere/,lido-belvedere,stabilimenti_01,2026-06-01T15:18:21Z
10225,https://www.spiagge.it/stabilimenti-balneari/10225-bagni-amedeo/,bagni-amedeo,stabilimenti_01,2026-06-01T15:18:21Z
10226,https://www.spiagge.it/stabilimenti-balneari/10226-la-caletta-del-moro/,la-caletta-del-moro,stabilimenti_01,2026-06-01T15:18:21Z
10228,https://www.spiagge.it/stabilimenti-balneari/10228-ombra/,ombra,stabilimenti_01,2026-06-01T15:18:21Z
10229,https://www.spiagge.it/stabilimenti-balneari/10229-corallo-beach/,corallo-beach,stabilimenti_03,2026-06-01T15:18:21Z
10230,https://www.spiagge.it/stabilimenti-balneari/10230-frontemare-beach/,frontemare-beach,stabilimenti_03,2026-06-01T15:18:21Z
10231,https://www.spiagge.it/stabilimenti-balneari/10231-piccolo-lido/,piccolo-lido,stabilimenti_03,2026-06-01T15:18:21Z
10233,https://www.spiagge.it/stabilimenti-balneari/10233-bagno-17-moai/,bagno-17-moai,stabilimenti_01,2026-06-01T15:18:21Z
10234,https://www.spiagge.it/stabilimenti-balneari/10234-chalet-sud-est/,chalet-sud-est,stabilimenti_03,2026-06-01T15:18:21Z
10236,https://www.spiagge.it/stabilimenti-balneari/10236-bagni-sole-47/,bagni-sole-47,stabilimenti_03,2026-06-01T15:18:21Z
10237,https://www.spiagge.it/stabilimenti-balneari/10237-lido-3/,lido-3,stabilimenti_03,2026-06-01T15:18:21Z
10238,https://www.spiagge.it/stabilimenti-balneari/10238-la-baia-dei-venti/,la-baia-dei-venti,stabilimenti_03,2026-06-01T15:18:21Z
10240,https://www.spiagge.it/stabilimenti-balneari/10240-bagno-nando/,bagno-nando,stabilimenti_03,2026-06-01T15:18:21Z
10241,https://www.spiagge.it/stabilimenti-balneari/10241-bagni-lo-scoglio/,bagni-lo-scoglio,stabilimenti_01,2026-06-01T15:18:21Z
10242,https://www.spiagge.it/stabilimenti-balneari/10242-bagno-fafin/,bagno-fafin,stabilimenti_01,2026-06-01T15:18:21Z
10243,https://www.spiagge.it/stabilimenti-balneari/10243-bagno-sardigna-beach/,bagno-sardigna-beach,stabilimenti_01,2026-06-01T15:18:21Z
10245,https://www.spiagge.it/stabilimenti-balneari/10245-stabilimento-balneare-roma/,stabilimento-balneare-roma,stabilimenti_01,2026-06-01T15:18:21Z
10246,https://www.spiagge.it/stabilimenti-balneari/10246-aloha-beach/,aloha-beach,stabilimenti_03,2026-06-01T15:18:21Z
10247,https://www.spiagge.it/stabilimenti-balneari/10247-bagno-24-rimini/,bagno-24-rimini,stabilimenti_01,2026-06-01T15:18:21Z
10248,https://www.spiagge.it/stabilimenti-balneari/10248-chalet-minonda/,chalet-minonda,stabilimenti_01,2026-06-01T15:18:21Z
10249,https://www.spiagge.it/stabilimenti-balneari/10249-al-faro/,al-faro,stabilimenti_01,2026-06-01T15:18:21Z
10253,https://www.spiagge.it/stabilimenti-balneari/10253-bagni-ariston/,bagni-ariston,stabilimenti_01,2026-06-01T15:18:21Z
10255,https://www.spiagge.it/stabilimenti-balneari/10255-bagno-piemonte/,bagno-piemonte,stabilimenti_01,2026-06-01T15:18:21Z
10256,https://www.spiagge.it/stabilimenti-balneari/10256-spiagge-della-luna-bagno-41/,spiagge-della-luna-bagno-41,stabilimenti_01,2026-06-01T15:18:21Z
